species name,brief intro,plant stature,leaf tip colour,bean size,optimal altitude low (5N_5S),optimal altitude mid (5-15N_5-15S),optimal altitude high (15N_15S),quality potential at high altitude,yield potential,disease: coffee leaf rust,disease: coffee berry disease,disease: nematodes,nutrition requirment,planting density
Anacafe 14,"Very high yielding variety, with rust resistance and good quality at elevations above 1300 meters. Variety not uniform.",Dwarf/Compact,Green,Very Large,>1200m,>900m,>700m,Good,High,Resistant,Susceptible,Susceptible,High,4000-5000 a/ha  (using single-stem pruning)
Batian,"A tall variety that combines high yields, tolerance to coffee leaf rust, resistance to coffee berry disease, and good cup quality.",Tall,Green or Bronze,Very Large,>1000m,>700m,>400m,Very Good,High,Tolerant,Resistant,Susceptible,Medium,2000-3000 a/ha (using multiple-stem pruning)
Bourbon,"One of the most culturally and genetically important C. arabica varieties in the world, known for excellent quality in the cup at the highest altitudes.",Tall,Green,Average,>1600m,>1300m,>1000m,Very Good,Medium,Susceptible,Susceptible,Susceptible,Medium,3000-4000 (using single stem pruning)
Bourbon Mayaguez 71,"Moderate yield, good cup potential, and susceptible to major diseases. Adapted for medium altitudes. Found commonly in Rwanda and Burundi.",Tall,Bronze,Large,>1200m,>900m,>700m,Good,Medium,Susceptible,Susceptible,Unknown,Medium,1000-2000 a/ha (using multiple-stem pruning)
Bourbon Mayaguez 139,Vigorous and highly productive tall variety with very good cup quality. Found commonly in Rwanda and Burundi.,Tall,Bronze,Large,                              1200–1600m,                              900–1300m,                              700–1000m,Very Good,High,Susceptible,Susceptible,Unknown,Medium,2000-3000 a/ha (using multiple-stem pruning)
Casiopea,"High yielding variety, with exceptional quality at elevations above 1300 meters.",Dwarf/Compact,Bronze,Large,>1600m,>1300m,>1000m,Exceptional,High,Susceptible,Susceptible,Susceptible,High,4000-5000 a/ha  (using single-stem pruning)
"Catimor 129 Cat129, Nyika","High yielding dwarf variety resistant to coffee leaf rust and coffee berry disease. Found commonly in Malawi, Zambia, and Zimbabwe.",Dwarf/Compact,Green,Large,                              1000–1600m,                              700–1300m,                              400–1000m,Good,Very High,Resistant,Resistant,Susceptible,High,3000-4000 (using single stem pruning)
Catisic,Adapted to warmest zones and acidic soils. High yielding.,Dwarf/Compact,Bronze,Average,                              1000–1600m,                              700–1300m,                              400–1000m,Very Low,High,Resistant,Susceptible,Susceptible,High,5000-6000 a/ha  (using single-stem pruning)
Catuai,A compact plant with high yielding potential of standard quality in Central America. Very high susceptibility to coffee leaf rust.,Dwarf/Compact,Green,Average,>1600m,>1300m,>1000m,Good,Good,Susceptible,Susceptible,Susceptible,High,5000-6000 a/ha  (using single-stem pruning)
Caturra,A compact plant with good yielding potential of standard quality in Central America. Very high susceptibility to  coffee leaf rust.,Dwarf/Compact,Green,Average,>1600m,>1300m,>1000m,Good,Good,Susceptible,Susceptible,Susceptible,High,5000-6000 a/ha  (using single-stem pruning)
Centroamericano,Very high yielding with very good quality potential. Well-adapted for agroforestry.,Dwarf/Compact,Green,Large,>1000m,>700m,>400m,Very Good,Very High,Resistant,Tolerant,Susceptible,Very High,3000-4000 (using single stem pruning)
Costa Rica 95,High yielding variety adapted to warmest zones and acidic soils.,Dwarf/Compact,Bronze,Average,                              1000–1600m,                              700–1300m,                              400–1000m,Low,High,Susceptible,Susceptible,Susceptible,High,5000-6000 a/ha  (using single-stem pruning)
Cuscatleco,Well-adapted to medium altitudes. Resistant to coffee leaf rust and some nematodes.,Dwarf/Compact,Green,Large,                              1000–1600m,                              700–1300m,                              400–1000m,Good,Good,Resistant,Unknown,Resistant,High,5000-6000 a/ha  (using single-stem pruning)
Evaluna,Very high yielding variety  at elevations at high altitudes.,Dwarf/Compact,Light Bronze,Large,>1600m,>1300m,>1000m,Very Good,High,Susceptible,Tolerant,Susceptible,High,4000-5000 a/ha  (using single-stem pruning)
Fronton,Early production and high yielding plant resistant to coffee leaf rust.  Well-adapted to low and medium altitudes. Found primarily in Puerto Rico.,Dwarf/Compact,Green or Bronze,Average,                              1000–1600m,                              700–1300m,                              400–1000m,Good,Good,Resistant,Unknown,Unknown,High,3000-4000 (using single stem pruning)
Geisha (Panama),"Panamanian Geisha has exceptionally high quality at high altitudes. The term ""Geisha"" is often applied to other coffees that do not share the distinct genetics of Panamanian Geisha. Geisha is also cultivated widely in Malawi.",Tall,Green or Bronze,Average,>1600m,>1300m,>1000m,Exceptional,Medium,Tolerant,Susceptible,Susceptible,Medium,3000-4000 (using single stem pruning)
